'rule id'       action          src-zone          dst-zone              src-ip                    dst-ip                    'service'                   
'51'            permit          untrust           trust                 NoSourceIP                36.110.112.98/32          ['Any']                     
'50'            permit          untrust           trust                 NoSourceIP                36.110.112.105/32         ['Any']                     
'53'            permit          NoSourceZone      trust                 NoSourceIP                36.110.112.99/32          ['8000', '8888', 'HTTPS']   
'66'            permit          untrust           trust                 NoSourceIP                36.110.112.103/32         ['23107', '23121', '23120', '21121', '23106', '23122', '23119']
'67'            NoAction        untrust           trust                 NoSourceIP                36.110.112.104/32         ['https[443]']              
'68'            permit          untrust           trust                 NoSourceIP                36.110.112.103/32         ['23109', '23108']          
'34'            permit          untrust           trust                 NoSourceIP                NoDestinationIP           ['Any']                     
'42'            permit          untrust           trust                 NoSourceIP                36.110.112.102/32         ['8080']                    
'24'            permit          untrust           trust                 124.251.102.94/32         36.110.112.108/32         ['TCP_10000', 'TCP_20000', '8080', '8443']
'27'            NoAction        NoSourceZone      NoDestinationZone     NoSourceIP                NoDestinationIP           []                          
'21'            deny            Any               trust                 NoSourceIP                36.110.112.99/32          ['8080']                    
'22'            permit          trust             untrust               10.20.10.0/24             116.213.205.158/32        ['11111']                   
'23'            deny            VPNHub            trust                 10.20.22.19/32            10.20.10.3/32             ['Any']                     
'46'            permit          trust             untrust               NoSourceIP                NoDestinationIP           ['Any']                     
'47'            permit          untrust           trust                 NoSourceIP                113.208.138.108/32        ['8000', 'HTTP', '30080', 'tcp3333']
'44'            permit          untrust           trust                 115.182.210.132/32        36.110.112.103/32         ['https[443]']              
'45'            permit          trust             trust                 NoSourceIP                NoDestinationIP           ['Any']                     
'28'            permit          untrust           trust                 NoSourceIP                NoDestinationIP           ['TCP_8080', 'TCP_10080', 'TCP_20080']
'29'            NoAction        NoSourceZone      NoDestinationZone     NoSourceIP                NoDestinationIP           []                          
'40'            permit          VPNHub            trust                 NoSourceIP                NoDestinationIP           ['Any']                     
'41'            permit          untrust           trust                 NoSourceIP                36.110.112.101/32         ['IMO_TCP_5722', 'IMO_TCP_10000', 'IMO_TCP_8999', 'IMO_TCP_5186', 'IMO_TCP_6000', 'IMO_TCP_3306', 'IMO_TCP_7000', 'IMO_TCP_8091', 'IMO_UDP_5186', 'IMO_TCP_1863']
'1'             deny            Any               NoDestinationZone     NoSourceIP                NoDestinationIP           ['Any']                     
'2'             permit          VPNHub            VPNHub                NoSourceIP                NoDestinationIP           ['Any']                     
'5'             permit          untrust           trust                 NoSourceIP                36.110.112.103/32         ['10782', '10788']          
'4'             permit          untrust           trust                 NoSourceIP                36.110.112.103/32         ['10981', '10983']          
'7'             permit          untrust           trust                 NoSourceIP                36.110.112.103/32         ['8888']                    
'6'             permit          untrust           trust                 NoSourceIP                36.110.112.103/32         ['12780']                   
'9'             permit          untrust           trust                 123.59.44.158/32          36.110.112.104/32         ['8686', '8585']            
'8'             permit          untrust           trust                 NoSourceIP                36.110.112.103/32         ['26131']                   
'None'          NoAction        NoSourceZone      NoDestinationZone     NoSourceIP                NoDestinationIP           ['TCP_8008', '23109', '23108', '23107', '23106', '21121', '23122', 'IMO_TCP_7000', '8686', 'tcp3333', '8443', 'IMO_UDP_5186', 'IMO_TCP_1863', 'TCP_20080', '24109', '8888', 'tcp3306', 'TCP_10080', 'IMO_TCP_8999', 'IMO_TCP_5186', 'IMO_UDP_1863', '3389', 'udp33433-33523', '10983', '26131', 'http[80]', '23119', '30080', 'TCP_10000', '23121', 'IMO_TCP_10000', 'IMO_TCP_6000', '22222', 'IMO_TCP_3306', '10782', '2181', 'TCP_20000', '10788', '8000', '23120', 'IMO_TCP_5722', '8080', 'https[443]', '23800', 'tcp3336', '10981', 'IMO_TCP_8091', 'TCP_8080', '28131', '28080', '12780', '8585']
'8066'          NoAction        trust             untrust               20.20.20.0/24             10.20.20.0/23             ['Any']                     
'8066'          NoAction        NoSourceZone      untrust               10.10.3.50/32             NoDestinationIP           ['Any']                     
'13'            permit          untrust           trust                 NoSourceIP                36.110.112.103/32         ['8080']                    
'12'            permit          untrust           trust                 180.169.69.46/32          36.110.112.99/32          ['8080']                    
'14'            permit          untrust           trust                 61.148.68.166/32          36.110.112.104/32         ['8080', '8443']            
'11'            permit          untrust           NoDestinationZone     NoSourceIP                36.110.112.104/32         ['3389']                    
'10'            permit          untrust           trust                 124.74.105.54/32          36.110.112.104/32         ['28131']                   
'39'            permit          trust             VPNHub                NoSourceIP                NoDestinationIP           ['Any']                     
'38'            permit          untrust           trust                 NoSourceIP                NoDestinationIP           ['SSH']                     
'15'            deny            trust             untrust               10.20.10.0/24             NoDestinationIP           ['Any']                     
'48'            permit          untrust           trust                 NoSourceIP                113.208.138.107/32        ['Any']                     
'16'            NoAction        trust             untrust               10.20.10.0/24             114.113.126.98/32         ['Any']                     
'33'            permit          untrust           trust                 NoSourceIP                113.208.138.108/32        ['tcp3336']                 
'54'            permit          untrust           trust                 NoSourceIP                36.110.112.100/32         ['8888', 'HTTPS']           
'49'            permit          untrust           trust                 NoSourceIP                113.208.138.109/32        ['Any']                     
'37'            permit          untrust           trust                 NoSourceIP                NoDestinationIP           ['udp33433-33523']          
'36'            permit          untrust           trust                 NoSourceIP                NoDestinationIP           ['ICMP']                    
'35'            deny            untrust           NoDestinationZone     NoSourceIP                NoDestinationIP           ['Any']                     
'52'            deny            untrust           trust                 NoSourceIP                113.208.138.108/32        ['Any']                     
'65'            permit          untrust           trust                 NoSourceIP                36.110.112.103/32         ['2181']                    
